sign;dac;adc;vol;res
1;0;10359;-0.0;154.35
0;0;10354;0.0;155.87
0;41;10355;0.05;155.57
0;82;10361;0.1;153.74
0;123;10357;0.15;154.96
0;164;10362;0.2;153.43
0;205;10353;0.25;156.18
0;246;10359;0.3;154.35
0;287;10363;0.35;153.13
0;328;10355;0.4;155.57
0;369;10358;0.451;154.65
0;410;10358;0.501;154.65
0;451;10358;0.551;154.65
0;492;10357;0.601;154.96
0;533;10358;0.651;154.65
0;574;10358;0.701;154.65
0;615;10359;0.751;154.35
0;656;10354;0.801;155.87
0;697;10360;0.851;154.04
0;738;10358;0.901;154.65
0;779;10361;0.951;153.74
0;820;10359;1.001;154.35
0;861;10355;1.051;155.57
0;902;10358;1.101;154.65
0;943;10354;1.151;155.87
0;984;10356;1.201;155.26
0;1025;10351;1.252;156.79
0;1066;10357;1.302;154.96
0;1107;10356;1.352;155.26
0;1148;10358;1.402;154.65
0;1189;10356;1.452;155.26
0;1230;10359;1.502;154.35
0;1271;10361;1.552;153.74
0;1312;10356;1.602;155.26
0;1353;10362;1.652;153.43
0;1394;10349;1.702;157.4
0;1435;10354;1.752;155.87
0;1476;10358;1.802;154.65
0;1517;10358;1.852;154.65
0;1558;10357;1.902;154.96
0;1599;10357;1.952;154.96
0;1640;10357;2.002;154.96
0;1681;10360;2.053;154.04
0;1722;10360;2.103;154.04
0;1763;10356;2.153;155.26
0;1804;10360;2.203;154.04
0;1802;10359;2.2;154.35
0;1761;10358;2.15;154.65
0;1720;10361;2.1;153.74
0;1679;10354;2.05;155.87
0;1638;10364;2.0;152.82
0;1597;10360;1.95;154.04
0;1556;10356;1.9;155.26
0;1515;10353;1.85;156.18
0;1474;10355;1.8;155.57
0;1433;10360;1.75;154.04
0;1392;10354;1.7;155.87
0;1351;10359;1.65;154.35
0;1310;10358;1.6;154.65
0;1269;10360;1.549;154.04
0;1228;10364;1.499;152.82
0;1187;10357;1.449;154.96
0;1146;10354;1.399;155.87
0;1105;10355;1.349;155.57
0;1064;10354;1.299;155.87
0;1023;10359;1.249;154.35
0;982;10355;1.199;155.57
0;941;10357;1.149;154.96
0;900;10357;1.099;154.96
0;859;10355;1.049;155.57
0;818;10361;0.999;153.74
0;777;10354;0.949;155.87
0;736;10348;0.899;157.71
0;695;10361;0.849;153.74
0;654;10361;0.799;153.74
0;613;10355;0.748;155.57
0;572;10358;0.698;154.65
0;531;10356;0.648;155.26
0;490;10356;0.598;155.26
0;449;10353;0.548;156.18
0;408;10354;0.498;155.87
0;367;10358;0.448;154.65
0;326;10361;0.398;153.74
0;285;10362;0.348;153.43
0;244;10359;0.298;154.35
0;203;10350;0.248;157.1
0;162;10348;0.198;157.71
0;121;10361;0.148;153.74
0;80;10361;0.098;153.74
0;39;10359;0.048;154.35
0;-2;10355;-0.002;155.57
0;0;10353;0.0;156.18
0;41;10359;0.05;154.35
0;82;10361;0.1;153.74
0;123;10361;0.15;153.74
0;164;10353;0.2;156.18
0;205;10347;0.25;158.02
0;246;10359;0.3;154.35
0;287;10356;0.35;155.26
0;328;10358;0.4;154.65
0;369;10356;0.451;155.26
0;410;10355;0.501;155.57
0;451;10351;0.551;156.79
0;492;10358;0.601;154.65
0;533;10355;0.651;155.57
0;574;10363;0.701;153.13
0;615;10359;0.751;154.35
0;656;10363;0.801;153.13
0;697;10364;0.851;152.82
0;738;10361;0.901;153.74
0;779;10361;0.951;153.74
0;820;10363;1.001;153.13
0;861;10362;1.051;153.43
0;902;10358;1.101;154.65
0;943;10356;1.151;155.26
0;984;10364;1.201;152.82
0;1025;10358;1.252;154.65
0;1066;10358;1.302;154.65
0;1107;10359;1.352;154.35
0;1148;10355;1.402;155.57
0;1189;10360;1.452;154.04
0;1230;10362;1.502;153.43
0;1271;10361;1.552;153.74
0;1312;10360;1.602;154.04
0;1353;10356;1.652;155.26
0;1394;10354;1.702;155.87
0;1435;10355;1.752;155.57
0;1476;10361;1.802;153.74
0;1517;10356;1.852;155.26
0;1558;10349;1.902;157.4
0;1599;10358;1.952;154.65
0;1640;10359;2.002;154.35
0;1681;10355;2.053;155.57
0;1722;10363;2.103;153.13
0;1763;10360;2.153;154.04
0;1804;10360;2.203;154.04
0;1802;10355;2.2;155.57
0;1761;10355;2.15;155.57
0;1720;10360;2.1;154.04
0;1679;10358;2.05;154.65
0;1638;10362;2.0;153.43
0;1597;10354;1.95;155.87
0;1556;10362;1.9;153.43
0;1515;10358;1.85;154.65
0;1474;10361;1.8;153.74
0;1433;10353;1.75;156.18
0;1392;10360;1.7;154.04
0;1351;10363;1.65;153.13
0;1310;10353;1.6;156.18
0;1269;10361;1.549;153.74
0;1228;10352;1.499;156.49
0;1187;10361;1.449;153.74
0;1146;10351;1.399;156.79
0;1105;10360;1.349;154.04
0;1064;10361;1.299;153.74
0;1023;10359;1.249;154.35
0;982;10362;1.199;153.43
0;941;10361;1.149;153.74
0;900;10362;1.099;153.43
0;859;10362;1.049;153.43
0;818;10353;0.999;156.18
0;777;10356;0.949;155.26
0;736;10358;0.899;154.65
0;695;10354;0.849;155.87
0;654;10362;0.799;153.43
0;613;10356;0.748;155.26
0;572;10356;0.698;155.26
0;531;10354;0.648;155.87
0;490;10360;0.598;154.04
0;449;10359;0.548;154.35
0;408;10354;0.498;155.87
0;367;10351;0.448;156.79
0;326;10364;0.398;152.82
0;285;10357;0.348;154.96
0;244;10351;0.298;156.79
0;203;10358;0.248;154.65
0;162;10359;0.198;154.35
0;121;10357;0.148;154.96
0;80;10364;0.098;152.82
0;39;10357;0.048;154.96
0;-2;10354;-0.002;155.87
1;0;10358;-0.0;154.65
1;41;10362;-0.05;153.43
1;82;10361;-0.1;153.74
1;123;10348;-0.15;157.71
1;164;10357;-0.2;154.96
1;205;10362;-0.25;153.43
1;246;10360;-0.3;154.04
1;245;10354;-0.299;155.87
1;204;10354;-0.249;155.87
1;163;10362;-0.199;153.43
1;122;10361;-0.149;153.74
1;81;10359;-0.099;154.35
1;40;10352;-0.049;156.49
1;-1;10361;0.001;153.74
0;0;10358;0.0;154.65
0;41;10365;0.05;152.52
0;82;10362;0.1;153.43
0;123;10361;0.15;153.74
0;164;10362;0.2;153.43
0;205;10363;0.25;153.13
0;246;10363;0.3;153.13
0;287;10354;0.35;155.87
0;328;10357;0.4;154.96
0;369;10370;0.451;150.99
0;410;10359;0.501;154.35
0;451;10363;0.551;153.13
0;492;10357;0.601;154.96
0;533;10350;0.651;157.1
0;574;10363;0.701;153.13
0;615;10353;0.751;156.18
0;656;10352;0.801;156.49
0;697;10349;0.851;157.4
0;738;10358;0.901;154.65
0;779;10360;0.951;154.04
0;820;10358;1.001;154.65
0;861;10361;1.051;153.74
0;902;10358;1.101;154.65
0;943;10357;1.151;154.96
0;984;10362;1.201;153.43
0;983;10354;1.2;155.87
0;942;10355;1.15;155.57
0;901;10360;1.1;154.04
0;860;10356;1.05;155.26
0;819;10357;1.0;154.96
0;778;10359;0.95;154.35
0;737;10357;0.9;154.96
0;696;10356;0.85;155.26
0;655;10358;0.8;154.65
0;614;10358;0.75;154.65
0;573;10354;0.7;155.87
0;532;10356;0.65;155.26
0;491;10358;0.6;154.65
0;450;10358;0.549;154.65
0;409;10360;0.499;154.04
0;368;10359;0.449;154.35
0;327;10353;0.399;156.18
0;286;10354;0.349;155.87
0;245;10357;0.299;154.96
0;204;10359;0.249;154.35
0;163;10360;0.199;154.04
0;122;10356;0.149;155.26
0;81;10354;0.099;155.87
0;40;10359;0.049;154.35
0;-1;10356;-0.001;155.26
1;0;10366;-0.0;152.21
1;41;10359;-0.05;154.35
1;82;10355;-0.1;155.57
1;123;10357;-0.15;154.96
1;164;10357;-0.2;154.96
1;205;10355;-0.25;155.57
1;246;10358;-0.3;154.65
1;245;10357;-0.299;154.96
1;204;10355;-0.249;155.57
1;163;10360;-0.199;154.04
1;122;10353;-0.149;156.18
1;81;10363;-0.099;153.13
1;40;10359;-0.049;154.35
1;-1;10355;0.001;155.57
0;0;10359;0.0;154.35
0;41;10356;0.05;155.26
0;82;10355;0.1;155.57
0;123;10360;0.15;154.04
0;164;10353;0.2;156.18
0;205;10357;0.25;154.96
0;246;10354;0.3;155.87
0;287;10362;0.35;153.43
0;328;10359;0.4;154.35
0;369;10356;0.451;155.26
0;410;10357;0.501;154.96
0;451;10356;0.551;155.26
0;492;10353;0.601;156.18
0;533;10355;0.651;155.57
