sign;dac;adc;vol;res
1;0;163;-0.0;198091.04
1;8;165;-0.01;195653.45
1;16;170;-0.02;189810.4
1;24;168;-0.029;192105.89
1;32;166;-0.039;194456.68
1;40;167;-0.049;193274.24
1;48;165;-0.059;195653.45
1;56;164;-0.068;196864.81
1;64;167;-0.078;193274.24
1;72;166;-0.088;194456.68
1;80;160;-0.098;201861.68
1;88;162;-0.107;199332.4
1;96;157;-0.117;205776.43
1;104;159;-0.127;203150.18
1;112;163;-0.137;198091.04
1;120;166;-0.147;194456.68
1;128;168;-0.156;192105.89
1;136;167;-0.166;193274.24
1;144;169;-0.176;190951.35
1;152;172;-0.186;187568.31
1;160;167;-0.195;193274.24
1;168;160;-0.205;201861.68
1;176;162;-0.215;199332.4
1;184;164;-0.225;196864.81
1;192;163;-0.234;198091.04
1;200;165;-0.244;195653.45
1;208;157;-0.254;205776.43
1;216;172;-0.264;187568.31
1;224;159;-0.274;203150.18
1;232;174;-0.283;185377.75
1;240;157;-0.293;205776.43
1;248;170;-0.303;189810.4
1;256;159;-0.313;203150.18
1;264;158;-0.322;204454.99
1;272;158;-0.332;204454.99
1;280;169;-0.342;190951.35
1;288;169;-0.352;190951.35
1;296;173;-0.361;186466.7
1;304;164;-0.371;196864.81
1;312;175;-0.381;184301.25
1;320;158;-0.391;204454.99
1;328;164;-0.4;196864.81
1;336;170;-0.41;189810.4
1;344;159;-0.42;203150.18
1;352;159;-0.43;203150.18
1;360;168;-0.44;192105.89
1;368;153;-0.449;211234.89
1;376;162;-0.459;199332.4
1;384;170;-0.469;189810.4
1;392;158;-0.479;204454.99
1;400;165;-0.488;195653.45
1;408;165;-0.498;195653.45
1;416;163;-0.508;198091.04
1;424;161;-0.518;200589.19
1;432;160;-0.527;201861.68
1;440;167;-0.537;193274.24
1;448;158;-0.547;204454.99
1;456;156;-0.557;207114.8
1;464;158;-0.567;204454.99
1;472;158;-0.576;204454.99
1;480;173;-0.586;186466.7
1;488;175;-0.596;184301.25
1;496;166;-0.606;194456.68
1;504;161;-0.615;200589.19
1;512;158;-0.625;204454.99
1;520;159;-0.635;203150.18
1;528;174;-0.645;185377.75
1;536;171;-0.654;188682.8
1;544;172;-0.664;187568.31
1;552;161;-0.674;200589.19
1;560;173;-0.684;186466.7
1;568;168;-0.694;192105.89
1;576;162;-0.703;199332.4
1;584;160;-0.713;201861.68
1;592;160;-0.723;201861.68
1;600;166;-0.733;194456.68
1;608;168;-0.742;192105.89
1;616;162;-0.752;199332.4
1;624;161;-0.762;200589.19
1;632;173;-0.772;186466.7
1;640;159;-0.781;203150.18
1;648;168;-0.791;192105.89
1;656;161;-0.801;200589.19
1;664;159;-0.811;203150.18
1;672;172;-0.821;187568.31
1;680;170;-0.83;189810.4
1;688;165;-0.84;195653.45
1;696;173;-0.85;186466.7
1;704;174;-0.86;185377.75
1;712;173;-0.869;186466.7
1;720;172;-0.879;187568.31
1;728;164;-0.889;196864.81
1;736;149;-0.899;216986.43
1;744;138;-0.908;234522.38
1;752;132;-0.918;245319.31
1;760;128;-0.928;253079.6
1;768;121;-0.938;267894.7
1;776;132;-0.947;245319.31
1;784;132;-0.957;245319.31
1;792;131;-0.967;247214.95
1;800;134;-0.977;241612.9
1;808;134;-0.987;241612.9
1;816;128;-0.996;253079.6
1;824;133;-1.006;243452.17
1;832;144;-1.016;224625.2
1;840;116;-1.026;279571.63
1;848;123;-1.035;263489.75
1;856;116;-1.045;279571.63
1;864;119;-1.055;272447.72
1;872;119;-1.065;272447.72
1;880;123;-1.074;263489.75
1;888;123;-1.084;263489.75
1;896;114;-1.094;284529.2
1;904;115;-1.104;282028.86
1;912;119;-1.114;272447.72
1;920;116;-1.123;279571.63
1;928;118;-1.133;274782.11
1;936;139;-1.143;232813.52
1;944;187;-1.153;172281.28
1;952;155;-1.162;208470.44
1;960;182;-1.172;177096.97
1;968;9156;-1.182;570.11
1;927;9157;-1.132;569.72
1;919;9163;-1.122;567.37
1;911;9174;-1.112;563.08
1;903;9162;-1.103;567.76
1;895;9173;-1.093;563.47
1;887;9176;-1.083;562.3
1;879;9181;-1.073;560.36
1;871;9174;-1.063;563.08
1;863;9166;-1.054;566.2
1;855;9181;-1.044;560.36
