sign;dac;adc;vol;res
1;0;9197;-0.0;554.15
1;8;9196;-0.01;554.54
1;16;9213;-0.02;547.96
1;24;9207;-0.029;550.28
1;32;9200;-0.039;552.99
1;40;9207;-0.049;550.28
1;48;9206;-0.059;550.66
1;56;9192;-0.068;556.09
1;64;9198;-0.078;553.76
1;72;9210;-0.088;549.12
1;80;9208;-0.098;549.89
1;88;9200;-0.107;552.99
1;96;9210;-0.117;549.12
1;104;9201;-0.127;552.6
1;112;9201;-0.137;552.6
1;120;9203;-0.147;551.82
1;128;9205;-0.156;551.05
1;136;9200;-0.166;552.99
1;144;9199;-0.176;553.37
1;152;9199;-0.186;553.37
1;160;9200;-0.195;552.99
1;168;9208;-0.205;549.89
1;176;9207;-0.215;550.28
1;184;9199;-0.225;553.37
1;192;9200;-0.234;552.99
1;200;9207;-0.244;550.28
1;208;9209;-0.254;549.5
1;216;9191;-0.264;556.47
1;224;9198;-0.274;553.76
1;232;9211;-0.283;548.73
1;240;9203;-0.293;551.82
1;248;9201;-0.303;552.6
1;256;9198;-0.313;553.76
1;264;9204;-0.322;551.44
1;272;9200;-0.332;552.99
1;280;9208;-0.342;549.89
1;288;9197;-0.352;554.15
1;296;9205;-0.361;551.05
1;304;9208;-0.371;549.89
1;312;9202;-0.381;552.21
1;320;9209;-0.391;549.5
1;328;9198;-0.4;553.76
1;336;9206;-0.41;550.66
1;344;9198;-0.42;553.76
1;352;9210;-0.43;549.12
1;360;9199;-0.44;553.37
1;368;9216;-0.449;546.8
1;376;9204;-0.459;551.44
1;384;9212;-0.469;548.34
1;392;9210;-0.479;549.12
1;400;9208;-0.488;549.89
1;408;9201;-0.498;552.6
1;416;9203;-0.508;551.82
1;424;9211;-0.518;548.73
1;432;9204;-0.527;551.44
1;440;9200;-0.537;552.99
1;448;9199;-0.547;553.37
1;456;9207;-0.557;550.28
1;464;9196;-0.567;554.54
1;472;9199;-0.576;553.37
1;480;9206;-0.586;550.66
1;488;9213;-0.596;547.96
1;496;9200;-0.606;552.99
1;504;9210;-0.615;549.12
1;512;9215;-0.625;547.19
1;520;9211;-0.635;548.73
1;528;9209;-0.645;549.5
1;536;9207;-0.654;550.28
1;544;9203;-0.664;551.82
1;552;9194;-0.674;555.31
1;560;9207;-0.684;550.28
1;568;9199;-0.694;553.37
1;576;9197;-0.703;554.15
1;584;9207;-0.713;550.28
1;592;9206;-0.723;550.66
1;600;9193;-0.733;555.7
1;608;9208;-0.742;549.89
1;616;9202;-0.752;552.21
1;624;9204;-0.762;551.44
1;632;9212;-0.772;548.34
1;640;9194;-0.781;555.31
1;648;9201;-0.791;552.6
1;656;9190;-0.801;556.86
1;664;9199;-0.811;553.37
1;672;9199;-0.821;553.37
1;680;9209;-0.83;549.5
1;688;9195;-0.84;554.92
1;696;9204;-0.85;551.44
1;704;9209;-0.86;549.5
1;712;9204;-0.869;551.44
1;720;9207;-0.879;550.28
1;728;9197;-0.889;554.15
1;736;9197;-0.899;554.15
1;744;9185;-0.908;558.8
1;752;9199;-0.918;553.37
1;760;9208;-0.928;549.89
1;768;9209;-0.938;549.5
1;776;9209;-0.947;549.5
1;784;9211;-0.957;548.73
1;792;9188;-0.967;557.64
1;800;9197;-0.977;554.15
1;808;9202;-0.987;552.21
1;816;9211;-0.996;548.73
1;824;9200;-1.006;552.99
1;832;9204;-1.016;551.44
1;840;9201;-1.026;552.6
1;848;9213;-1.035;547.96
1;856;9207;-1.045;550.28
1;864;9205;-1.055;551.05
1;872;9197;-1.065;554.15
1;880;9210;-1.074;549.12
1;888;9209;-1.084;549.5
1;896;9207;-1.094;550.28
1;895;9209;-1.093;549.5
1;887;9212;-1.083;548.34
1;879;9211;-1.073;548.73
1;871;9204;-1.063;551.44
1;863;9197;-1.054;554.15
1;855;9202;-1.044;552.21
1;847;9207;-1.034;550.28
1;839;9208;-1.024;549.89
1;831;9195;-1.015;554.92
1;823;9208;-1.005;549.89
1;815;9208;-0.995;549.89
1;807;9204;-0.985;551.44
1;799;9204;-0.976;551.44
1;791;9212;-0.966;548.34
1;783;9199;-0.956;553.37
1;775;9202;-0.946;552.21
1;767;9198;-0.937;553.76
1;759;9212;-0.927;548.34
1;751;9202;-0.917;552.21
1;743;9206;-0.907;550.66
1;735;9204;-0.897;551.44
1;727;9211;-0.888;548.73
1;719;9206;-0.878;550.66
1;711;9205;-0.868;551.05
1;703;9199;-0.858;553.37
1;695;9208;-0.849;549.89
1;687;9208;-0.839;549.89
1;679;9208;-0.829;549.89
1;671;9208;-0.819;549.89
1;663;9212;-0.81;548.34
1;655;9211;-0.8;548.73
1;647;9201;-0.79;552.6
1;639;9207;-0.78;550.28
1;631;9200;-0.77;552.99
1;623;9198;-0.761;553.76
1;615;9208;-0.751;549.89
1;607;9193;-0.741;555.7
1;599;9201;-0.731;552.6
1;591;9200;-0.722;552.99
1;583;9206;-0.712;550.66
1;575;9211;-0.702;548.73
1;567;9202;-0.692;552.21
1;559;9203;-0.683;551.82
1;551;9208;-0.673;549.89
1;543;9205;-0.663;551.05
1;535;9206;-0.653;550.66
1;527;9208;-0.643;549.89
1;519;9197;-0.634;554.15
1;511;9207;-0.624;550.28
1;503;9195;-0.614;554.92
1;495;9198;-0.604;553.76
1;487;9203;-0.595;551.82
1;479;9198;-0.585;553.76
1;471;9205;-0.575;551.05
1;463;9205;-0.565;551.05
1;455;9206;-0.556;550.66
1;447;9200;-0.546;552.99
1;439;9202;-0.536;552.21
1;431;9209;-0.526;549.5
1;423;9199;-0.516;553.37
1;415;9201;-0.507;552.6
1;407;9206;-0.497;550.66
1;399;9204;-0.487;551.44
1;391;9204;-0.477;551.44
1;383;9198;-0.468;553.76
1;375;9204;-0.458;551.44
1;367;9202;-0.448;552.21
1;359;9201;-0.438;552.6
1;351;9209;-0.429;549.5
1;343;9200;-0.419;552.99
1;335;9198;-0.409;553.76
1;327;9208;-0.399;549.89
1;319;9197;-0.389;554.15
1;311;9200;-0.38;552.99
1;303;9198;-0.37;553.76
1;295;9206;-0.36;550.66
1;287;9200;-0.35;552.99
1;279;9198;-0.341;553.76
1;271;9207;-0.331;550.28
1;263;9199;-0.321;553.37
1;255;9204;-0.311;551.44
1;247;9200;-0.302;552.99
1;239;9194;-0.292;555.31
