wl,bl
1,0
2,0
3,0
4,0
5,0
6,0
7,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
1,2
2,2
4,2
6,2
7,2
0,3
1,3
2,3
4,3
5,3
6,3
7,3
0,4
1,4
2,4
3,4
4,4
5,4
7,4
0,5
1,5
2,5
3,5
4,5
5,5
6,5
7,5
0,6
2,6
3,6
4,6
7,6
0,7
1,7
2,7
3,7
5,7
7,7
0,8
1,8
5,8
7,8
0,9
1,9
2,9
3,9
4,9
5,9
6,9
7,9
0,10
1,10
2,10
3,10
4,10
5,10
6,10
7,10
1,11
3,11
4,11
6,11
7,11
0,12
1,12
2,12
3,12
6,12
7,12
0,13
1,13
2,13
3,13
4,13
0,14
1,14
2,14
3,14
4,14
5,14
6,14
7,14
3,15
5,15
6,15
7,15
0,16
1,16
2,16
3,16
4,16
5,16
6,16
7,16
2,17
3,17
0,18
1,18
2,18
3,18
4,18
6,18
7,18
1,19
3,19
4,19
1,20
3,20
4,20
5,20
6,20
0,21
1,21
2,21
3,21
5,21
7,21
0,22
1,22
3,22
7,22
0,23
1,23
2,23
3,23
4,23
5,23
6,23
7,23
0,24
1,24
3,24
4,24
6,24
7,24
0,25
4,25
5,25
7,25
0,26
1,26
3,26
4,26
5,26
6,26
7,26
0,27
1,27
2,27
3,27
4,27
7,27
0,28
1,28
2,28
3,28
4,28
5,28
7,28
0,29
1,29
2,29
3,29
4,29
5,29
6,29
0,30
1,30
2,30
4,30
5,30
6,30
7,30
0,31
2,31
3,31
4,31
5,31
6,31
7,31
