sign;dac;adc;vol;res
0;0;16;0.0;652579.38
0;41;15;0.05;652579.38
0;82;15;0.1;652579.38
0;123;15;0.15;652579.38
0;164;14;0.2;652579.38
0;205;15;0.25;652579.38
0;246;14;0.3;652579.38
0;287;14;0.35;652579.38
0;328;14;0.4;652579.38
0;369;13;0.451;652579.38
0;410;13;0.501;652579.38
0;451;15;0.551;652579.38
0;492;16;0.601;652579.38
0;533;14;0.651;652579.38
0;574;16;0.701;652579.38
0;615;14;0.751;652579.38
0;656;16;0.801;652579.38
0;697;15;0.851;652579.38
0;738;14;0.901;652579.38
0;779;13;0.951;652579.38
0;820;13;1.001;652579.38
0;861;14;1.051;652579.38
0;902;16;1.101;652579.38
0;943;15;1.151;652579.38
0;984;16;1.201;652579.38
0;1025;14;1.252;652579.38
0;1066;14;1.302;652579.38
0;1107;13;1.352;652579.38
0;1148;12;1.402;652579.38
0;1189;12;1.452;652579.38
0;1230;11;1.502;652579.38
0;1271;12;1.552;652579.38
0;1312;12;1.602;652579.38
0;1353;15;1.652;652579.38
0;1394;14;1.702;652579.38
0;1392;15;1.7;652579.38
0;1351;13;1.65;652579.38
0;1310;14;1.6;652579.38
0;1269;14;1.549;652579.38
0;1228;13;1.499;652579.38
0;1187;13;1.449;652579.38
0;1146;14;1.399;652579.38
0;1105;12;1.349;652579.38
0;1064;13;1.299;652579.38
0;1023;13;1.249;652579.38
0;982;15;1.199;652579.38
0;941;14;1.149;652579.38
0;900;14;1.099;652579.38
0;859;13;1.049;652579.38
0;818;14;0.999;652579.38
0;777;13;0.949;652579.38
0;736;13;0.899;652579.38
0;695;13;0.849;652579.38
0;654;13;0.799;652579.38
0;613;14;0.748;652579.38
0;572;12;0.698;652579.38
0;531;13;0.648;652579.38
0;490;14;0.598;652579.38
0;449;14;0.548;652579.38
0;408;15;0.498;652579.38
0;367;13;0.448;652579.38
0;326;14;0.398;652579.38
0;285;14;0.348;652579.38
0;244;13;0.298;652579.38
0;203;12;0.248;652579.38
0;162;13;0.198;652579.38
0;121;12;0.148;652579.38
0;80;13;0.098;652579.38
0;39;14;0.048;652579.38
0;-2;98;-0.002;331474.38
1;0;69;-0.0;472054.77
1;41;61;-0.05;534358.34
1;82;44;-0.1;652579.38
1;123;43;-0.15;652579.38
1;164;71;-0.2;458672.66
1;205;61;-0.25;534358.34
1;246;81;-0.3;401674.8
1;287;83;-0.35;391923.36
1;328;72;-0.4;452260.4
1;369;49;-0.451;652579.38
1;410;43;-0.501;652579.38
1;451;45;-0.551;652579.38
1;492;42;-0.601;652579.38
1;533;52;-0.651;627364.4
1;574;52;-0.701;627364.4
1;615;28;-0.751;652579.38
1;656;30;-0.801;652579.38
1;697;30;-0.851;652579.38
1;738;38;-0.901;652579.38
1;779;30;-0.951;652579.38
1;820;20;-1.001;652579.38
1;861;28;-1.051;652579.38
1;902;34;-1.101;652579.38
1;943;38;-1.151;652579.38
1;984;21;-1.201;652579.38
1;1025;21;-1.252;652579.38
1;1066;21;-1.302;652579.38
1;1107;7400;-1.352;1419.66
1;1148;7296;-1.402;1482.8
1;1189;7584;-1.452;1312.19
1;1230;7674;-1.502;1261.5
1;1271;8168;-1.552;1003.16
1;1312;8324;-1.602;927.95
1;1353;8543;-1.652;827.0
1;1351;8581;-1.65;810.01
1;1310;8680;-1.6;766.44
1;1228;8705;-1.499;755.59
1;1187;8767;-1.449;728.96
1;1146;8787;-1.399;720.45
1;1105;8801;-1.349;714.52
1;1064;8774;-1.299;725.98
1;1023;8791;-1.249;718.75
1;982;8806;-1.199;712.4
1;941;8784;-1.149;721.72
1;900;8818;-1.099;707.34
1;859;8816;-1.049;708.18
1;818;8819;-0.999;706.91
1;777;8804;-0.949;713.25
1;736;8817;-0.899;707.76
1;695;8787;-0.849;720.45
1;654;8796;-0.799;716.63
1;613;8804;-0.748;713.25
1;572;8769;-0.698;728.11
1;531;8803;-0.648;713.67
1;490;8766;-0.598;729.39
1;449;8778;-0.548;724.28
1;408;8779;-0.498;723.85
1;367;8776;-0.448;725.13
1;326;8791;-0.398;718.75
1;285;8770;-0.348;727.68
1;244;8778;-0.298;724.28
1;203;8794;-0.248;717.48
1;162;8800;-0.198;714.94
1;121;8760;-0.148;731.95
1;80;8780;-0.098;723.42
1;39;8796;-0.048;716.63
1;-2;8790;0.002;719.18
