sign;dac;adc;vol;res
0;0;9282;0.0;521.51
0;8;9288;0.01;519.23
0;16;9282;0.02;521.51
0;24;9286;0.029;519.99
0;32;9290;0.039;518.47
0;40;9276;0.049;523.79
0;48;9293;0.059;517.33
0;56;9288;0.068;519.23
0;64;9294;0.078;516.95
0;72;9290;0.088;518.47
0;80;9290;0.098;518.47
0;88;9282;0.107;521.51
0;96;9283;0.117;521.13
0;104;9271;0.127;525.7
0;112;9279;0.137;522.65
0;120;9292;0.147;517.71
0;128;9281;0.156;521.89
0;136;9280;0.166;522.27
0;144;9291;0.176;518.09
0;152;9279;0.186;522.65
0;160;9285;0.195;520.37
0;168;9293;0.205;517.33
0;176;9288;0.215;519.23
0;184;9284;0.225;520.75
0;192;9283;0.234;521.13
0;200;9294;0.244;516.95
0;208;9291;0.254;518.09
0;216;9281;0.264;521.89
0;224;9280;0.274;522.27
0;232;9289;0.283;518.85
0;240;9283;0.293;521.13
0;248;9281;0.303;521.89
0;256;9292;0.313;517.71
0;264;9288;0.322;519.23
0;272;9279;0.332;522.65
0;280;9284;0.342;520.75
0;288;9294;0.352;516.95
0;296;9287;0.361;519.61
0;304;9292;0.371;517.71
0;312;9292;0.381;517.71
0;320;9283;0.391;521.13
0;328;9296;0.4;516.19
0;336;9294;0.41;516.95
0;344;9291;0.42;518.09
0;352;9289;0.43;518.85
0;360;9291;0.44;518.09
0;368;9292;0.449;517.71
0;376;9299;0.459;515.05
0;384;9294;0.469;516.95
0;392;9300;0.479;514.67
0;400;9301;0.488;514.3
0;408;9301;0.498;514.3
0;416;9304;0.508;513.16
0;424;9309;0.518;511.27
0;432;9312;0.527;510.13
0;440;9309;0.537;511.27
0;448;9314;0.547;509.38
0;456;9309;0.557;511.27
0;464;9319;0.567;507.49
0;472;9306;0.576;512.4
0;480;9318;0.586;507.87
0;488;9316;0.596;508.62
0;496;9305;0.606;512.78
0;504;9297;0.615;515.81
0;512;9302;0.625;513.92
0;520;9299;0.635;515.05
0;528;9306;0.645;512.4
0;536;9294;0.654;516.95
0;544;9297;0.664;515.81
0;552;9289;0.674;518.85
0;560;9291;0.684;518.09
0;568;9282;0.694;521.51
0;576;9283;0.703;521.13
0;584;9279;0.713;522.65
0;592;9270;0.723;526.08
0;600;9270;0.733;526.08
0;608;9263;0.742;528.75
0;616;9236;0.752;539.1
0;624;9235;0.762;539.48
0;632;9217;0.772;546.41
0;640;9213;0.781;547.96
0;648;9189;0.791;557.25
0;656;9161;0.801;568.15
0;664;9160;0.811;568.54
0;672;9103;0.821;590.95
0;680;9091;0.83;595.71
0;688;9001;0.84;631.76
0;696;8904;0.85;671.43
0;704;8627;0.86;789.64
0;712;8109;0.869;1032.36
