sign;dac;adc;vol;res
0;0;8114;0.0;1029.87
0;8;8119;0.01;1027.38
0;16;8111;0.02;1031.36
0;24;8085;0.029;1044.36
0;32;8119;0.039;1027.38
0;40;8119;0.049;1027.38
0;48;8092;0.059;1040.85
0;56;8064;0.068;1054.91
0;64;8119;0.078;1027.38
0;72;8115;0.088;1029.37
0;80;8087;0.098;1043.35
0;88;8106;0.107;1033.85
0;96;8106;0.117;1033.85
0;104;8094;0.127;1039.85
0;112;8106;0.137;1033.85
0;120;8117;0.147;1028.37
0;128;8040;0.156;1067.05
0;136;8098;0.166;1037.85
0;144;8115;0.176;1029.37
0;152;8105;0.186;1034.35
0;160;8069;0.195;1052.4
0;168;8124;0.205;1024.89
0;176;8128;0.215;1022.91
0;184;8087;0.225;1043.35
0;192;8124;0.234;1024.89
0;200;8087;0.244;1043.35
0;208;8135;0.254;1019.44
0;216;8083;0.264;1045.36
0;224;8132;0.274;1020.92
0;232;8130;0.283;1021.91
0;240;8129;0.293;1022.41
0;248;8094;0.303;1039.85
0;256;8093;0.313;1040.35
0;264;8110;0.322;1031.86
0;272;8112;0.332;1030.86
0;280;8119;0.342;1027.38
0;288;8111;0.352;1031.36
0;296;8097;0.361;1038.35
0;304;8102;0.371;1035.85
0;312;8131;0.381;1021.42
0;320;8119;0.391;1027.38
0;328;8108;0.4;1032.86
0;336;8114;0.41;1029.87
0;344;8115;0.42;1029.37
0;352;8132;0.43;1020.92
0;360;8094;0.44;1039.85
0;368;8080;0.449;1046.86
0;376;8094;0.459;1039.85
0;384;8106;0.469;1033.85
0;392;8114;0.479;1029.87
0;400;8111;0.488;1031.36
0;408;8093;0.498;1040.35
0;416;8084;0.508;1044.86
0;424;8060;0.518;1056.93
0;432;8076;0.527;1048.87
0;440;8089;0.537;1042.35
0;448;8077;0.547;1048.37
0;456;8094;0.557;1039.85
0;464;8047;0.567;1063.5
0;472;8057;0.576;1058.45
0;480;8023;0.586;1075.69
0;488;7993;0.596;1091.02
0;496;7939;0.606;1118.92
0;504;7960;0.615;1108.02
0;512;7913;0.625;1132.48
0;520;7910;0.635;1134.05
0;528;7869;0.645;1155.65
0;536;7754;0.654;1217.43
0;544;7663;0.664;1267.63
0;552;7685;0.674;1255.38
0;560;7673;0.684;1262.05
0;568;7622;0.694;1290.64
0;576;7477;0.703;1374.04
0;584;7389;0.713;1426.25
0;592;7329;0.723;1462.57
0;600;7326;0.733;1464.4
0;608;7166;0.742;1564.3
0;616;6968;0.752;1694.29
0;624;6818;0.762;1797.78
0;632;6716;0.772;1870.8
0;640;6439;0.781;2080.77
0;0;6452;0.0;2070.51
1;0;6459;-0.0;2065.01
1;8;6450;-0.01;2072.09
1;16;6443;-0.02;2077.61
1;24;6445;-0.029;2076.03
1;32;6442;-0.039;2078.4
1;40;6446;-0.049;2075.24
1;48;6447;-0.059;2074.45
1;56;6449;-0.068;2072.88
1;64;6460;-0.078;2064.22
1;72;6447;-0.088;2074.45
1;80;6450;-0.098;2072.09
1;88;6445;-0.107;2076.03
1;96;6454;-0.117;2068.94
1;104;6441;-0.127;2079.19
1;112;6455;-0.137;2068.15
1;120;6447;-0.147;2074.45
1;128;6465;-0.156;2060.3
1;136;6461;-0.166;2063.44
1;144;6463;-0.176;2061.87
1;152;6444;-0.186;2076.82
1;160;6470;-0.195;2056.38
1;168;6454;-0.205;2068.94
1;176;6440;-0.215;2079.98
1;184;6472;-0.225;2054.81
1;192;6452;-0.234;2070.51
1;200;6458;-0.244;2065.79
1;208;6472;-0.254;2054.81
1;216;6543;-0.264;1999.85
