sign;dac;adc;vol;res
0;0;7187;0.0;1550.94
0;8;7201;0.01;1542.07
0;16;7210;0.02;1536.39
0;24;7181;0.029;1554.75
0;32;7210;0.039;1536.39
0;40;7190;0.049;1549.04
0;48;7190;0.059;1549.04
0;56;7201;0.068;1542.07
0;64;7196;0.078;1545.23
0;72;7207;0.088;1538.28
0;80;7198;0.098;1543.97
0;88;7214;0.107;1533.87
0;96;7203;0.117;1540.81
0;104;7197;0.127;1544.6
0;112;7203;0.137;1540.81
0;120;7187;0.147;1550.94
0;128;7195;0.156;1545.87
0;136;7205;0.166;1539.54
0;144;7206;0.176;1538.91
0;152;7188;0.186;1550.3
0;160;7189;0.195;1549.67
0;168;7196;0.205;1545.23
0;176;7210;0.215;1536.39
0;184;7201;0.225;1542.07
0;192;7190;0.234;1549.04
0;200;7218;0.244;1531.35
0;208;7208;0.254;1537.65
0;216;7180;0.264;1555.39
0;224;7209;0.274;1537.02
0;232;7215;0.283;1533.24
0;240;7216;0.293;1532.61
0;248;7232;0.303;1522.56
0;256;7224;0.313;1527.58
0;264;7203;0.322;1540.81
0;272;7228;0.332;1525.07
0;280;7210;0.342;1536.39
0;288;7212;0.352;1535.13
0;296;7182;0.361;1554.11
0;304;7170;0.371;1561.75
0;312;7170;0.381;1561.75
0;320;7177;0.391;1557.29
0;328;7195;0.4;1545.87
0;336;7190;0.41;1549.04
0;344;7180;0.42;1555.39
0;352;7153;0.43;1572.62
0;360;7170;0.44;1561.75
0;368;7252;0.449;1510.06
0;376;7229;0.459;1524.44
0;384;7214;0.469;1533.87
0;392;7241;0.479;1516.93
0;400;7235;0.488;1520.68
0;408;7199;0.498;1543.34
0;416;7198;0.508;1543.97
0;424;7211;0.518;1535.76
0;432;7278;0.527;1493.91
0;440;7240;0.537;1517.55
0;448;7221;0.547;1529.46
0;456;7206;0.557;1538.91
0;464;7246;0.567;1513.8
0;472;7246;0.576;1513.8
0;480;7218;0.586;1531.35
0;488;7233;0.596;1521.93
0;496;7205;0.606;1539.54
0;504;7138;0.615;1582.25
0;512;7139;0.625;1581.61
0;520;6862;0.635;1766.96
0;528;6763;0.645;1836.88
0;536;6664;0.654;1908.89
0;544;6341;0.664;2159.45
0;0;6317;0.0;2179.09
1;0;6327;-0.0;2170.89
1;8;6319;-0.01;2177.45
1;16;6333;-0.02;2165.98
1;24;6316;-0.029;2179.91
1;32;6325;-0.039;2172.52
1;40;6331;-0.049;2167.61
1;48;6327;-0.059;2170.89
1;56;6321;-0.068;2175.8
1;64;6331;-0.078;2167.61
1;72;6315;-0.088;2180.73
1;80;6318;-0.098;2178.27
1;88;6333;-0.107;2165.98
1;96;6350;-0.117;2152.12
1;104;6348;-0.127;2153.75
1;112;6335;-0.137;2164.34
1;120;6341;-0.147;2159.45
1;128;6337;-0.156;2162.71
1;136;6342;-0.166;2158.63
1;144;6346;-0.176;2155.37
1;152;6337;-0.186;2162.71
1;160;6314;-0.195;2181.55
1;168;6314;-0.205;2181.55
1;176;6317;-0.215;2179.09
1;184;6336;-0.225;2163.53
1;192;6324;-0.234;2173.34
1;200;6323;-0.244;2174.16
1;208;6297;-0.254;2195.57
1;216;6289;-0.264;2202.19
1;224;6313;-0.274;2182.38
1;232;6291;-0.283;2200.53
1;240;6309;-0.293;2185.67
1;248;6248;-0.303;2236.39
1;256;6310;-0.313;2184.84
1;264;6309;-0.322;2185.67
1;272;6328;-0.332;2170.07
1;280;6312;-0.342;2183.2
1;288;6305;-0.352;2188.96
1;296;6325;-0.361;2172.52
1;304;6276;-0.371;2212.99
1;312;6310;-0.381;2184.84
1;320;6337;-0.391;2162.71
1;328;6415;-0.4;2099.82
1;336;6353;-0.41;2149.68
1;344;6463;-0.42;2061.87
1;352;6414;-0.43;2100.61
1;360;6467;-0.44;2058.73
1;368;6393;-0.449;2117.4
1;376;6415;-0.459;2099.82
1;384;6420;-0.469;2095.84
1;392;6456;-0.479;2067.37
1;400;6423;-0.488;2093.45
1;408;6361;-0.498;2143.19
1;416;6389;-0.508;2120.61
1;424;6380;-0.518;2127.85
1;432;6333;-0.527;2165.98
1;440;6367;-0.537;2138.34
1;448;6421;-0.547;2095.04
1;456;6421;-0.557;2095.04
1;464;6347;-0.567;2154.56
1;472;6390;-0.576;2119.81
1;480;6461;-0.586;2063.44
1;488;6431;-0.596;2087.1
1;496;6491;-0.606;2039.99
